match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,extra_time,penalties,winner_name_meta
91,Round of 16,"MetLife Stadium, East Rutherford",United States,Brazil,Ecuador,2,1,13,5,0,True,False,Brazil
92,Round of 16,"Estadio Azteca, Mexico City",Mexico,Mexico,England,1,2,12,5,0,True,False,England
93,Round of 16,"AT&T Stadium, Dallas",United States,Colombia,Spain,1,2,11,5,0,False,False,Spain
94,Round of 16,"Lumen Field, Seattle",United States,United States,Belgium,1,2,10,4,0,False,False,Belgium
95,Round of 16,"Mercedes-Benz Stadium, Atlanta",United States,Argentina,Iran,2,1,10,4,0,False,False,Argentina
96,Round of 16,"BC Place, Vancouver",Canada,Canada,Portugal,1,2,12,5,0,True,False,Portugal
97,Quarter-final,"Gillette Stadium, Boston",United States,Morocco,France,1,2,13,5,0,True,False,France
98,Quarter-final,"SoFi Stadium, Los Angeles",United States,Spain,Belgium,2,1,12,5,0,False,False,Spain
99,Quarter-final,"Hard Rock Stadium, Miami",United States,Brazil,England,1,1,14,6,0,True,True,England
100,Quarter-final,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Argentina,Portugal,2,1,14,6,0,True,False,Argentina
101,Semi-final,"AT&T Stadium, Dallas",United States,France,Spain,1,2,15,6,0,True,False,Spain
102,Semi-final,"Mercedes-Benz Stadium, Atlanta",United States,England,Argentina,1,2,14,6,0,True,False,Argentina
103,Third-place playoff,"Hard Rock Stadium, Miami",United States,France,England,1,1,14,6,0,True,True,England
104,Final,"MetLife Stadium, East Rutherford",United States,Spain,Argentina,1,1,15,6,0,True,True,Spain
